Sentence,Count,Found Phrases,NumWords,ChangedWords,ChangedWordsPercentage
"І ось саме тому ""життя погане""",5,саме|погане|тому|ось|життя,6,5,83.33333333333334
"Він, мабуть, думав, що ми голопуцьки",5,ми|думав|що|він|мабуть,6,5,83.33333333333334
Все це мені не до вподоби,5,не до вподоби|все|мені|до|це,6,5,83.33333333333334
"Аж поки ніж став, мов бритва",5,аж|ніж|бритва|поки|мов,6,5,83.33333333333334
"Очевидно, вони були щирі між собою",5,між|щирі|очевидно|вони|собою,6,5,83.33333333333334
Що ти ще тут маєш говорити,5,ти|тут|ще|говорити|що,6,5,83.33333333333334
Як добре я пригадую той склеп,5,як|склеп|той|я|добре,6,5,83.33333333333334
"Але справа така, що краще тут",5,тут|справа|що|але|краще,6,5,83.33333333333334
"Але що сталося: тихо, аж боляче",5,але|аж|сталося|що|тихо,6,5,83.33333333333334
(Це таки справді якась інша раса!),5,таки|інша|це|якась|справді,6,5,83.33333333333334
Як кажуть: нехай вам здоров'я прибуде,5,нехай|я|як|здоров'я|кажуть,6,5,83.33333333333334
"А може, йому треба було вигадувати",5,треба|може|вигадувати|йому|а може,6,5,83.33333333333334
Звідки Андрій про все те знає?,5,знає|все|звідки|те|андрій,6,5,83.33333333333334
Звідки він прийшов на це подвір'я,5,я|це|звідки|подвір'я|він,6,5,83.33333333333334
"Трохи не так, але дуже подібно",5,не так|так|але|трохи|дуже,6,5,83.33333333333334
Місяць тому вона говорила те саме,5,вона|саме|тому|те|місяць,6,5,83.33333333333334
"Ні, це тільки так йому здається",5,так|здається|це|тільки|йому,6,5,83.33333333333334
"Треба швидко впоратись: гуртом, як один",5,як|треба|швидко|один|гуртом,6,5,83.33333333333334
Хто швидше — ті чи вона,5,вона|чи|ті|швидше|хто,6,5,83.33333333333334
"Ось це і є вона, Смерть",5,це|смерть|є|вона|ось,6,5,83.33333333333334
"Уявили, що тут відбувається щось цікаве",5,щось|що|цікаве|тут|відбувається,6,5,83.33333333333334
Ще треба гроші взяти на квиток,5,треба|гроші|ще|взяти|квиток,6,5,83.33333333333334
"Так, як тільки тут уміють париться",5,тільки|тут|так|як тільки|як,6,5,83.33333333333334
"Це дуже добре, що ми договорились..",5,дуже|це|ми|добре|що,6,5,83.33333333333334
Ось тут зараз має бути закрут,5,ось|зараз|тут|ось тут|бути,6,5,83.33333333333334
Є ще один чоловік: Кирило Лукич,5,кирило|чоловік|ще|один|є,6,5,83.33333333333334
"— Вибачай тільки, що більше нічого..",5,вибачай|що|тільки|більше|нічого,6,5,83.33333333333334
"Доля— це щось таке, як хуртовина",5,це|як|доля|щось|хуртовина,6,5,83.33333333333334
"як його звали, забув зовсім ім'я",5,як|ім'я|я|його|зовсім,6,5,83.33333333333334
Але тут же відмовився від цього,5,від|тут|цього|тут же|але,6,5,83.33333333333334
Але він боїться показати цю тривогу,5,але|він|боїться|цю|показати,6,5,83.33333333333334
— Я сьогодні це саме думав,5,я|саме|це|сьогодні|думав,6,5,83.33333333333334
Але все-таки справи посуваються дуже мляво,5,але|таки|мляво|дуже|все,6,5,83.33333333333334
"Я прийшла до тебе, як сновида",5,тебе|до|як|прийшла|я,6,5,83.33333333333334
Точно як ті бідні італійці недавно,5,точно|як|ті|недавно|італійці,6,5,83.33333333333334
"Тоді Степан, плутаючись, почав пояснювати йому",5,пояснювати|почав|степан|йому|тоді,6,5,83.33333333333334
Ось чому я намагався попередити кровопролиття,5,кровопролиття|я|попередити|ось|чому,6,5,83.33333333333334
"Мабуть, йому все-таки не сподобалося, що Андрій його так знамените розколов",9,йому|все|що|таки|так|його|андрій|сподобалося|мабуть,11,9,81.81818181818183
"Але, ні, не може бути",4,не може|може|але|бути,5,4,80.0
"Отак через смерть багатство роблять!""",4,багатство|роблять|смерть|через,5,4,80.0
"— Кажуть, що він тут",4,тут|кажуть|він|що,5,4,80.0
Ті чи вам життя набридло,4,ті|життя|чи|набридло,5,4,80.0
"Навіщо, справді, його грошам пропадати",4,його|пропадати|справді|навіщо,5,4,80.0
"Ну, добре, що це жарт",4,це|жарт|добре|що,5,4,80.0
"""Степан справді буває дуже злий",4,справді|злий|степан|дуже,5,4,80.0
Бажання — це мати думки,4,бажання|мати|думки|це,5,4,80.0
Він більше нічого не знає,4,знає|більше|він|нічого,5,4,80.0
"А може, варто ворушити страх",4,ворушити|може|страх|а може,5,4,80.0
Дивуватися мені було більше нікуди,4,дивуватися|мені|більше|нікуди,5,4,80.0
Він справді починає п'яний танок,4,п'яний|справді|танок|він,5,4,80.0
Тепер мені іще цей клопіт,4,мені|цей|клопіт|тепер,5,4,80.0
Як пізно він це зрозумів,4,це|як|пізно|він,5,4,80.0
А може й те ще..,4,ще|може|а може|те,5,4,80.0
Він хоче те все бачити,4,все|бачити|те|він,5,4,80.0
"Все, що від тебе потрібне",4,від|все|тебе|що,5,4,80.0
Потім жаль звогчив його очі,4,його|жаль|очі|потім,5,4,80.0
Він долізе-таки до свого порога,4,свого|до|він|таки,5,4,80.0
"— Так саме, як тут",4,як|тут|саме|так,5,4,80.0
"Довелося йти обережно, надзвичайно пильнувати",4,довелося|пильнувати|йти|обережно,5,4,80.0
Ось це і є межа,4,межа|ось|це|є,5,4,80.0
"А може, й усе життя",4,усе|життя|може|а може,5,4,80.0
Але ж не так відразу…,4,відразу|не так|але|так,5,4,80.0
Раптом все пішло несподівано швидко..,4,несподівано|все|швидко|раптом,5,4,80.0
"Високий, як батько, дебелий красень",4,як|батько|високий|красень,5,4,80.0
Наш слід до неї виведе,4,до|неї|слід|до неї,5,4,80.0
Але все-таки Максим його вигнав,4,все|але|таки|його,5,4,80.0
"Прислухайтесь: цікаво, як говорить народ",4,цікаво|народ|як|говорить,5,4,80.0
"""Це дуже цікаво"",— подумав Степан",4,це|степан|цікаво|дуже,5,4,80.0
Це вона тільки змиє все,4,вона|тільки|це|все,5,4,80.0
"Так от, це все неправда",4,неправда|це|все|так,5,4,80.0
Час я проводжу тут добре,4,тут|добре|час|я,5,4,80.0
"Ніби він закам'янів, чи що",4,чи|що|він|ніби,5,4,80.0
Завтра вже може бути пізно…,4,завтра|може|бути|пізно,5,4,80.0
"Андрій відповідав мляво, але точно",4,точно|мляво|але|андрій,5,4,80.0
Але їсти все-таки  не міг,4,але|їсти|все|таки,5,4,80.0
І що там роблять брати?.,4,брати|там|роблять|що,5,4,80.0
Йому несила так піти геть,4,так|геть|йому|піти,5,4,80.0
"Яка любов, коли смерть довкола",4,яка|довкола|смерть|любов,5,4,80.0
"— Так, це той, що..",4,той|так|це|що,5,4,80.0
— Все це так зненацька..,4,зненацька|все|це|так,5,4,80.0
"Або загинути так, без бою",4,так|без|або|загинути,5,4,80.0
І звідки він його знає,4,знає|звідки|він|його,5,4,80.0
Так ніби їм зовсім байдуже,4,так|байдуже|ніби|зовсім,5,4,80.0
Тоді Максим почав умовляти його,4,його|почав|умовляти|тоді,5,4,80.0
"Портрет виходив гарний, дуже подібний",4,гарний|подібний|дуже|дуже подібний,5,4,80.0
"Може, ми ще колись побачимось",4,може|ще|ми|колись,5,4,80.0
Але звідки вони все знають,4,все|вони|звідки|але,5,4,80.0
"""Вони до неї теж прийдуть",4,до|неї|до неї|вони,5,4,80.0
"Отже, я вклинився через випадок",4,через|отже|я|випадок,5,4,80.0
Тепер треба гарно все попіднімати,4,треба|тепер|все|гарно,5,4,80.0
"Видно, велика тривога в неї",4,тривога|неї|видно|велика,5,4,80.0
— Чи тут живуть дівчата..,4,тут|чи|дівчата|живуть,5,4,80.0
"Якщо так, то до кінця!""",4,якщо так|якщо|до|так,5,4,80.0
Тільки дуже повільно плине час,4,повільно|тільки|дуже|час,5,4,80.0
"Ти думаєш, що я боягуз",4,ти|я|що|боягуз,5,4,80.0
"Як добре, що він босий",4,добре|що|він|як,5,4,80.0
Але той шлях йому заказаний,4,йому|але|той|шлях,5,4,80.0
(Нині я не так думаю!),4,думаю|так|не так|я,5,4,80.0
Свій чи чужий цей натовп,4,натовп|чи|цей|чужий,5,4,80.0
"Людина є мразь, порох, ніщо",4,порох|є|ніщо|людина,5,4,80.0
"Здається, вони перемовлялися між собою",4,між|вони|здається|собою,5,4,80.0
"Я не такий, як вони",4,не такий|я|як|вони,5,4,80.0
"Тепер, звичайно, немає нічого похожого",4,немає|тепер|звичайно|нічого,5,4,80.0
Але хто про це знає,4,хто|знає|але|це,5,4,80.0
Я через тебе загубив окуляри,4,я|тебе|через|окуляри,5,4,80.0
"Це хтось, хто його знає",4,його|знає|хто|це,5,4,80.0
Але ж ти чому там,4,там|чому|ти|але,5,4,80.0
"Вийшов тихо, щоб не розбудити",4,вийшов|тихо|розбудити|щоб,5,4,80.0
"Батько мій італієць, мати слов'янка",4,батько|італієць|мій|мати,5,4,80.0
"Як же так, без нічого",4,без|як|нічого|так,5,4,80.0
— Це майже як людина,4,майже|це|як|людина,5,4,80.0
— Звідкіля ти це взяла,4,ти|це|взяла|звідкіля,5,4,80.0
"Н-да, тут треба бути пильним",4,треба|бути|бути пильним|тут,5,4,80.0
"— О, я тебе розбудила..",4,тебе|розбудила|о|я,5,4,80.0
"Так, так, почалася пора світлячків",4,"пора|почалася|так, так|так",5,4,80.0
Тепер він один як палець,4,один|як|він|тепер,5,4,80.0
Я хочу бути коло вас,4,хочу|коло|бути|я,5,4,80.0
Тепер скоріше вибратися б звідси,4,скоріше|тепер|вибратися|звідси,5,4,80.0
А поки що життя важке,4,поки|поки що|життя|що,5,4,80.0
"Я думаю, що він плакав",4,я|що|думаю|він,5,4,80.0
"Диви, щось дуже знайома місцина",4,щось|диви|дуже|знайома,5,4,80.0
— Що він там говорить,4,там|що|він|говорить,5,4,80.0
Скільки ще треба встигнути написати,4,встигнути|ще|треба|скільки,5,4,80.0
Тоді він почав боятися мене,4,боятися|тоді|почав|він,5,4,80.0
А застрілився він зовсім недавно,4,недавно|зовсім недавно|він|зовсім,5,4,80.0
Але потім вони роззнайомились ближче,4,але|потім|вони|ближче,5,4,80.0
"Було ось так, як є",4,ось|як|є|так,5,4,80.0
Аж тепер я це згадав,4,тепер|аж|це|я,5,4,80.0
Адже я — червоний директор,4,я|директор|червоний|адже,5,4,80.0
"Я скажу йому, що трунар",4,скажу|йому|я|що,5,4,80.0
Аж ось де вони причаїлися,4,ось де|аж|вони|ось,5,4,80.0
Так ось зараз вона буде,4,зараз|вона|ось|так,5,4,80.0
Тепер якраз іди собі спокійно,4,якраз|спокійно|іди|тепер,5,4,80.0
І це так само правильно,4,це|так|правильно|так само,5,4,80.0
— Зараз я скажу йому,4,я|зараз|йому|скажу,5,4,80.0
"Признаюсь аж тепер, що кинув",4,що|аж|тепер|кинув,5,4,80.0
Це я вже від себе…,4,від себе|від|я|це,5,4,80.0
"""А що, його день завтра?""",4,його|що|день|завтра,5,4,80.0
"Це, видно, було йому цікаво",4,цікаво|видно|це|йому,5,4,80.0
"Чи я осел, чи ти..",4,ти|чи|я|осел,5,4,80.0
"Я відчула, що він тут",4,я|тут|він|що,5,4,80.0
— Ось тут ось внизу..,4,тут|ось тут|внизу|ось,5,4,80.0
Не може ж бути інакше,4,бути|може|не може|інакше,5,4,80.0
Не може — це ясно,4,може|це|не може|ясно,5,4,80.0
"Авантюрист ти, як я бачу",4,ти|авантюрист|я|як,5,4,80.0
"Те саме, що й ми",4,ми|те|саме|що,5,4,80.0
Навряд чи це саме так,4,чи|так|це|саме,5,4,80.0
"Дзелень-дзелень, назад, залізо пече очі,",4,пече|очі|залізо|назад,5,4,80.0
"Цікаво, що мені Загата скаже",4,загата|мені|цікаво|що,5,4,80.0
Тепер вони мерзнуть мені повсякчас,4,тепер|повсякчас|вони|мені,5,4,80.0
"Ти занадто упертий, але нічого..",4,упертий|але|нічого|ти,5,4,80.0
що ти там ще мазюкаєш!.,4,там|ще|що|ти,5,4,80.0
Незабаром російська армія розвинула наступ,4,наступ|російська|незабаром|армія,5,4,80.0
"О, він це добре знав",4,це|о|він|добре,5,4,80.0
"Вони говорили щось, аби говорити",4,говорити|щось|вони|аби,5,4,80.0
"Те ""щось"" ішло йому назустріч",4,йому|щось|назустріч|те,5,4,80.0
"А що ми без неї?..""",4,без|ми|що|неї,5,4,80.0
"Але й те, що є!.",4,але|те|що|є,5,4,80.0
Він їде на інше полювання,4,полювання|він|їде|інше,5,4,80.0
"Сталося те, що давно назрівало",4,сталося|що|давно|те,5,4,80.0
"Проте, повагавшись трохи, вирішив-таки піти",4,таки|піти|трохи|проте,5,4,80.0
"Лихо жде, але йти треба..",4,йти|лихо|треба|але,5,4,80.0
"Та ні, не може бути",4,та ні|не може|може|бути,5,4,80.0
Завтра я від'їздю до Генуї,4,завтра|від|до|я,5,4,80.0
— Я роблю це саме,4,саме|це|роблю|я,5,4,80.0
"Це те, що буде потім",4,те|це|що|потім,5,4,80.0
Цього ніколи не може бути,4,може|цього|бути|не може,5,4,80.0
"Вони ждуть полону, як щастя",4,щастя|ждуть|як|вони,5,4,80.0
"Я мушу тобі сказати, що мені тяжко говорити про любов",8,тяжко|любов|що|сказати|говорити|мені|я|мушу,10,8,80.0
"""Кажуть, Синиця заникує до неї",4,кажуть|неї|до|до неї,5,4,80.0
"Отже, і він може померти",4,може|померти|отже|він,5,4,80.0
Але так було тільки зранку,4,але|так|тільки|зранку,5,4,80.0
"Ходи, проведу тебе до хати",4,до хати|ходи|до|тебе,5,4,80.0
— Тоді його треба зняти,4,треба|зняти|тоді|його,5,4,80.0
"Це тут тато ""Вісті"" читають",4,це|вісті|тато|тут,5,4,80.0
Адже колись він тут був..,4,тут|колись|адже|він,5,4,80.0
Чуже залізо й чужий вогонь,4,вогонь|залізо|чуже|чужий,5,4,80.0
"Запиши сам себе, ось тут-о..",4,ось|тут|ось тут|о,5,4,80.0
Але як до цього підійти,4,цього|до|як|але,5,4,80.0
"Кожен думав, що то він",4,думав|кожен|що|він,5,4,80.0
Чому це так йому прирекли?.,4,так|чому|це|йому,5,4,80.0
І він до цього покликаний,4,цього|до|покликаний|він,5,4,80.0
Що він мав від нього,4,мав|він|від|що,5,4,80.0
Однак більше не кажуть нічого,4,більше|однак|нічого|кажуть,5,4,80.0
"Як він змужнів, цей Роман!.",4,як|роман|він|цей,5,4,80.0
"Це візник, що чекав його",4,його|це|візник|що,5,4,80.0
"""І це тому вони дивляться?.",4,тому|це|вони|дивляться,5,4,80.0
І це той страх говорить,4,страх|той|це|говорить,5,4,80.0
"НОВИЙ ЗАПОВІТ, Євангелія від св",4,євангелія|новий|заповіт|від,5,4,80.0
"Так, я пам'ятаю про це",4,я|це|так|пам'ятаю,5,4,80.0
"Думав, що це від утоми",4,від|це|що|думав,5,4,80.0
Мені стояти тут чи йти,4,чи|мені|йти|тут,5,4,80.0
Це все-таки була велика приємність,4,велика|все|таки|це,5,4,80.0
Щось вона дуже йому боліла,4,щось|йому|дуже|вона,5,4,80.0
Він перший кинув уламок скелі,4,скелі|він|кинув|уламок скелі,5,4,80.0
До нього треба тільки підійти,4,до|тільки|треба|до нього,5,4,80.0
"— О, важко все починається…",4,о|важко|починається|все,5,4,80.0
Суха ковила ще стояла міцно,4,ковила|міцно|суха|ще,5,4,80.0
Але щоб так лаялась жінка,4,щоб|але|жінка|так,5,4,80.0
"Це, напевно, було прибране ім'я",4,це|ім'я|я|напевно,5,4,80.0
"Іди, не хочу тебе бачити",4,хочу|бачити|тебе|іди,5,4,80.0
"Відомо, що там усе є",4,є|що|усе|там,5,4,80.0
"Проте вони знають, що живуть",4,проте|вони|що|живуть,5,4,80.0
Мав говорити голова місцевого запілля,4,говорити|голова|мав|запілля,5,4,80.0
І ось треба все залишити,4,треба|залишити|все|ось,5,4,80.0
Ось проходить понад очеретами навпростець,4,ось|навпростець|проходить|понад,5,4,80.0
Чому я зобов'язаний його жаліти,4,я|чому|його|жаліти,5,4,80.0
Звідкіля тільки все те береться,4,тільки|все|те|звідкіля,5,4,80.0
Але зовсім- ніби й правильно,4,але|правильно|ніби|зовсім,5,4,80.0
"Чи сниться, чи справді діється?.",4,чи|сниться|діється|справді,5,4,80.0
Так що ми тебе охороняємо..,4,ми|тебе|що|так,5,4,80.0
Але це ще не все,4,це|все|але|ще,5,4,80.0
"Але він прийшов не так, як звичайно ходить вечір",7,вечір|але|він|як|звичайно|не так|так,9,7,77.77777777777779
"Все, що заважає його відчувати, чуже й байдуже мені",7,його|байдуже|чуже|мені|що|заважає|все,9,7,77.77777777777779
"Просто я хочу, щоб цей місяць тут кипіла робота",7,робота|хочу|цей|щоб|тут|я|місяць,9,7,77.77777777777779
"Чого це вони так, неначе злодії, роблять своє діло",7,неначе|злодії|вони|це|діло|роблять|так,9,7,77.77777777777779
"Яка радість не побачити завтра те, що бачиш сьогодні",7,яка|не побачити|завтра|побачити|те|сьогодні|що,9,7,77.77777777777779
Доки я можу чекати,3,чекати|я|доки,4,3,75.0
Ми це все бачили..,3,ми|це|все,4,3,75.0
— Це зовсім інше,3,зовсім|інше|це,4,3,75.0
"О, ми ще подивимось",3,ще|ми|о,4,3,75.0
"""Чому ж ""так собі""",3,так|так собі|чому,4,3,75.0
Зараз я тебе зловлю..,3,я|тебе|зараз,4,3,75.0
"Вони ""йдуть у бій""!?",3,йдуть|бій|вони,4,3,75.0
"Ой, як свербить тім'я!.",3,як|я|ой,4,3,75.0
"Мабуть, таки вже пізно",3,таки|пізно|мабуть,4,3,75.0
"Ще нічого не видно!""",3,видно|ще|нічого,4,3,75.0
— Чому це раптом,3,чому|раптом|це,4,3,75.0
Аж шкода було дивитися,3,аж|дивитися|шкода,4,3,75.0
якщо той листочок осиковий,3,осиковий|якщо|той,4,3,75.0
"""Так, ми ще подивимось!""",3,так|ще|ми,4,3,75.0
Я все точно підрахував,3,точно|я|все,4,3,75.0
Все це сталося блискавично,3,це|все|сталося,4,3,75.0
І зараз те саме,3,зараз|те|саме,4,3,75.0
Вони вже зовсім близько,3,близько|зовсім|вони,4,3,75.0
"Чорт знає, що твориться",3,що|знає|чорт,4,3,75.0
І грає її дівчина,3,дівчина|її|грає,4,3,75.0
Запиши все-таки моє прізвище,3,все|таки|прізвище,4,3,75.0
"Я вдав, що сплю",3,сплю|я|що,4,3,75.0
"Я удавала, що сплю",3,що|я|сплю,4,3,75.0
Усе видить тільки Бог-Соварог,3,тільки|бог|усе,4,3,75.0
Адже ще чотири літа,3,ще|адже|чотири,4,3,75.0
Це ж його книги,3,книги|це|його,4,3,75.0
А ми тут що,3,ми|що|тут,4,3,75.0
І я мушу йти,3,я|йти|мушу,4,3,75.0
"Що там діється, Прісю",3,діється|там|що,4,3,75.0
Ой час і пора..,3,ой|час|пора,4,3,75.0
Це вийшло досить зухвало,3,зухвало|це|досить,4,3,75.0
Тоді я зважився відкрити,3,тоді|я|відкрити,4,3,75.0
Щось він там господарював..,3,щось|там|він,4,3,75.0
Вони ще досить стримані,3,ще|досить|вони,4,3,75.0
"Я почав оглядати, кабінет",3,я|почав|оглядати,4,3,75.0
Чи справді вже пізно?!,3,справді|чи|пізно,4,3,75.0
Я розумію його тепер..,3,я|його|тепер,4,3,75.0
Те саме й там,3,там|те|саме,4,3,75.0
