Hutsul,Ukrainian
Ріщє,Сушник
Роглик,Рогач
Рожен,Розколина
Розвитатися,Розпрощатись
Розгорнутися,Роздягнутися
Розказ,"Наказ, Команда"
Розноокий,Косоокий
Розфляцкати,Розляпати
Розфляцкати,Розхляпати
Розчіхнути,Розламати
Розчіхнути,Розщепити
Розшіньканий,Розщеплений
Романсувати,Мати Любовний Зв'язок
Ромоток,Шматина-Пов'язка
Ропавка,Жаба-Ропуха
Ружі,Троянди
Рубцак,Наплічник
Рура,Труба
Руский,Російський
Сальцисон,Зельц
Свиняк,Послід Свині
Свитер,Светр
Сегорішний,Цьогорічний
Сервус!,Здоров! Вітаю!
Сибірковий,Смушковий
Сивний,Рясний
Сикавка,Помпа
Сикавка,Насос
Сикірація,Страхування Майна
Сикса,Доносчик
Симбриля,Заробітна Плата
Скіпка,Мала Тріска
Скірувати,Спрямувати
Слабий,Хворий
Слив'янка,Алкогольний Напій
Слоїк,Скляна Банка
Слота,Сльота
Слуп,Стовп
Смеречина,Ялинник.
Сміттяний,Нікчемний
Сночі,Вчора Ввечері
Сокотитися,Шануватися
Солодке Молоко,Свіже Молоко
Солонина,Сало
Солотвина,Багнувате Місце
Солотвина,Багновище
Солотвина,Мочарі
Спирати,Боронити
Спирати,Заборонювати
Спирати,Зупиняти
Сподні,Брюки
Спуза,Пил
Стариня,Батьки
Стевхати,Швидко З'їсти
Стілниці,Спеціальна Дошка Для Розтачування Тіста
Стовп,Весільна Сорочка Молодої
Сторцом,У Вертикальному Положенні
Стратити,Змарнувати Час
Струнець,Плетений Калач
Студений,Холодний
Студений,Замерзлий
Студінь,Холод
Студінь,Мороз
Судник,Дерев'яний Посуд
Сус,Житель Гір
Сусіха,Кочерга
Сутич,Смітник
Сутич,Сміттєзвалище
Сутки,"Вузька Дорога, Загороджена По Обидва Боки"
Лабка,Ніжка
Лабуз,Бадилля
Ланц,Ланцюг
Лая,Зграя
Лєрва,Жінка Легкої Поведінки
Лижби,Ковзани
Лилик,Кажан
Лихвар,Торгівець
Ліци,Віжки
Ломага,Велика Гілка Дерева
Луб,Кора
Луговиння,Лоза
Лупка,Негарний Головний Убір
Льода,Морозиво
Люстро,Дзеркальце
Магерка,Повстяна Шапка
Мадригал,Опій
Мазепинка,Костюм
Майзель,Зубило
Манти,Гуцульська Річ
Мантриган,Белодонна
Мара,Чаклунка
Масне,Жирне
Мась,Дьоготь
Медарка,Медогонка
Мешти,Туфлі
Млака,Мокра Місцина
Могуля,Жіноча Зачіска
Моква,Затяжний Дощ
Моклак,Мокрий Грунт
Морва,Шовковиця
Моріжок,Зелена Травичка
Моц,Багата
Мушія,Велике Панське Володіння
Навидіти,Любити
Наминати,Їсти З Апетитом
Нанашка,Хресна Мати
Нарід,Народ
Нарікати,Скаржитись
Нарти,Лижі
Насторц,Дибки
Начес,Миттю
Не Суть,Немає
Нехарний,Неприємний
Ніц А Ніц,Анічогісінько
Ноші,Мода
Обіч,Гірський Схил
Обзорини,Оглядини
Образ,Ікона
Обхаяти,Привести До Ладу
Обцас,Закаблук
Обшкалювати,Обдряпати
Ожулюд,Жолудь
Олуфко,Олівець
Оногди,Недавно
Офензива,Наступ
Абрихтунок,Військова Вправа
Автодидакт,Самоук
Адіт,Дивіться!
Апострофа,Особисте Звертання
Аранжер,Упорядник
Асентерувати,Взяти До Війська
Багати,Звернути Увагу
Багати,Мати На Думці
Багна,Скошене На Болоті
Багна,Багні
Багнетник,Вартовий
Бадьо,Старий Мужик
Байбарак,Короткий Сіряк
Бана,Нарікання
Банувати,Жалувати
Банувати,Тужити
Батько,Хрещений Батько
Бачки,В'язи
Бгачкий,Верткий
Безпечити,Обіцяти
Бексати,Голосно Плакати
Бербеничка,Діжечка
Берівка,Барило
Берівка,Барилка
Бечувати,Підпомагати
Бештифрант,Хитрун
Бештифрант,Майстер
Бинда,Стрічка
Бізівно,Напевне
Біньити,Бриніти
Блавучити,Байдикувати
Бовгар,Пастух Рогатої Худоби
Бовтиці,Китиці
Брага,Хмільний Квас
Брич,Бритва
Брокатовий,Парчевий
Бруліон,Чернетка
Буката,Часть У Більшій Мірі
Буката,Частина
Бульбона,Глибоке Місце В Річці
Бунда,Кожух
Бурдей,Землянка
Бутин,Вируб Лісу
Бута,Бундючність
Вадитися,Сперечатися Про Щось
Вакатися,Насмілюватися
Вакатися,Відважитись
Не Вакайси,Не Наважуйся
Варівкий,Непевний
Вбезсебитиси,Розлютитися
Вбезсебитиси,Взлоститися
Вбезсебитиси,Розсердитися
Вгідний,Працьовитий
Вгідний,Шановний
Верствак,Одноліток
Виглоданий,Використаний
Вигулити,Видурити
Вирокувати,Зійти
Вистріляю Що До Лаби,Виб'ю До Ноги
Вистравний,Вибагливий У Стравах
Витити,Звалитися
Вифасувати,Отримати З Державної Каси Чи Складу
Вицофатися,Вибритись
Виштрикнути,Вистрибнути
Відвіновувати,Дати Придане
Відгалакати,Виголосити
Відгалакати,Відтарабанити
Відмолюватися,Відпрошуватися
Відорщі,Водохреща
Відтановлєтеси,Відгодовуватися
Відтановлєтеси,Товстіти
Відумерщина,Спадщина По Вмерлому
Віншувати,Поздоровляти
Вісний Ніж,Теслярський Інструмент
Вісний Ніж,Струг
Віт,Війт
Вкосичувати,Закосичувати
Вкосичувати,Прибирати Квітами
Воловід,Товстий Мотуз
Волока,Мотузка Від Постолів
Вориння,Огорожа З Довгих Жердин
Впелескатися,Вкрутитися
Всокотити,Вберегти
Втерти Чемері,Дати Потиличника
Втерти Чемері,Потягнути За Вухо
Втерханий,Навантажений
Втємити,Опам'ятатися
Втємити,Заспокоїтись
Габа,Скоки Хвиль
Габа,Грива Хвилі
Гавра,Дірка
Гальман,Тиск
Гальт,Стій
Нема Гальту,Нема Зупину
Гарак,Ром
Гевкнути,Міцно Кинути
Гели,Ями
Гели,Видолинки
Гели,Вибоїни
Гердан,Прикраса: Мереживо З Бісеру
Герланка,Горлянка
Гив,Гов
Гилити,Раїти
Гилити,Радити
Гирішний,Такий Самий
Гиршкатиси,Дратуватися
Гиря,Чубата Голова
Гичка,Чупер
Гія,Гоже
Не Гія,Не Слід
Не Гія,Не Гоже
Глиця,Також Кіл У Плоті
Гліт,Терня
Глід,Ряд
Глід,Стрій
Глітно,Тісно
Гогози,Лісові Ягоди
Гоголі,Коліна
Горі,Горою
Горн,Комин
Горожанський,Громадянський
Гостинець,Шлях
Готур,Тетерев
Гралі,Залізні Вила
Граничар,Гранична Сторожа
Грань,Жар
Гребти Глину,Копати Могилу
Грегіт,Скелі
Грегітні Шпиці,Скелясті Верхівки
Грегітний,Кремінний
Грижа,Турбота
Грижіти,Мати Клопіт
Грижіти,Клопотатися
Грижіти,Гризтися Чимось
Грозна,Грона
Грузь,Гущавінь
Грузь,Також Засохле Болоте
Грунь,Гірський Шпиль
Грядка,Жердка Для Одягу
Гугля,Плащ Накидка
Гулити,Дурити
Гунцвот,Лайка
Гунцвот,Собачий Син
Гуска Солі,Грядка Солі
Гуска Солі,Пучка Солі
Гуцулка,Гуцульський Танок
Дараба,Сплав
Дебя,Ледве
Декунки,Схованки
Декунки,Траншеї
Денцівка,Мала Сопівка З Денцем
Держєк,Держак
Дє',Тату
Дзоркнути,Брязнути
Дзоркнути,Стукнути
Дзьобня,Вовняна Торбинка
Дижма,Прибуток
Диспонувати,Розміщувати
Диспонувати,Розподіляти
Диспонувати,Розпоряжатись
Дознаки,Достоту
Допевнювати,Переконувати
Драганистий,Здоровий
Дранка,Сорочка
Дріб,Птиця
Друк,Розбишака
Дубельтівка,Двоствольна Рушниця
Дудочка,Назва Старої Дрібної Монети
Думний,Гордий
Дуфати,Думати
Дучка,Діра
Дучка,Нора
Дучка,Барліг
Ексцерпт,Вислів
Ексцерпт,Цитата
Ерстити,Хрестити
Єв,Заходився
Єрчєта,Ягнята
Жасний,Жахливий
Жасний,Полохливий
Жасний,Боязкий
Жбухнути,Вибухнути
Жентиця,Сироватка
Живний Четвер,Страсний Четвер
Жигало,Розпечене Залізо
Забефельовати,Наказати
Зайдей,Зайда
Заказати,Заборонити
Закаправілі,Закислі
Законтентувати,Вдоволити
Законтентувати,Умовити
Заліжка,Заклад
Замаїти,Заквітчати
Замельдувати,Заявити
Запівкати,Засвистати
Запіворити,Заверещати
За Простибі,Щоби Бог Умершим Простив Гріхи
Зареквірувати,Взяти До Військових Потреб
Зарути,Заревіти
Заситити,Стратити
Заситити,Знищити
Засій,Зась
Засколобина,Ущелина
Затерлигати,Поплентатися
Затилля,Запілля
Затилля,Також Передмістя
Затичка,Окраса На Голові
Зафантувати,Взяти За Борги
Зафеленок,Накорінок
Зафеленок,Поріддя
Зачєрати,Зачерпати
Зачєрати,Набрати
Зашінка,Зав'язка До Сорочки
Заштрикнути,Ускочити
Збицкатиси,Сполошитися
Звага,Розсудливість
Зведениця,Покритка
Згарди,Намисто З Срібних Або Мідних Монет
Здикутор,Екзекутор
Зеленюк,Сторож Граничний
Зимарка,Хата На Полонинах Або Сіножатях
Зицирувати,Муштрувати
Злезентирувати,Здезертирувати
Злісна,Дружина Лісничого
Змагати,Здужати
Зобашний,Вибачливий
Золити,Виварити В Золі
Золотник,Недуга
Зроблений,Спрацьований
Зуміватися,Дивуватися
Зуритити,Зненавидіти
Зуритити,Розлюбити
Зурититись,Стати Осоружним
Йти Переверці,Крутитися
Йти Переверці,Перевертатися
Кабат,Мундир
Кабат,Юніформа
Каблук,Вигнута З Лози Петля
Кавка,Галка
Кавка,Крук
Каліцтво,Кровопролиття
Камар,Цісарський Ліс
Камара,Цісарське Майно
Камрат,Товариш
Камрат,Побратим
Кантичка,Збірник Церковних Пісень
Капарити,Тяжко Бідувати
Карби,Помітки
Карби,Зарубини
Кафтизма,Розділ Псалтиря
Кашерний,Добірний
Кашкетники,Солдати В Кашкетах
Келюхи,Кишки
Кивати,Займати
Киндіти,Скупитися
Кинути,Зачепити
Кицка,Грудка Землі
Кицка,Дернина
Кичера,Гостра Гора
Кібзувати,Міркувати
Кібзувати,Знати
Кіяня,Мотика
Кіяня,Довбня
Кланцатий,Зубатий
Кланцатий,Дзьобатий
Кланцатий,Сварливий
Клевцун,Низький На Зріст
Клевцун,Присадкуватий
Клинок,Малий Клин
Ковпіт,Курява
Ковпіт,Порох
Кольба,Приклад Гвинтівки
Кольба,Рушниці
Коменіуш,Шкільний Підручник
Комісний,Військовий
Комітат,Адміністративна Одиниця Угорщини
Контентний,Задоволений
Континувати,Продовжувати
Конципієнт,Помічник
На Коркоші,Брати На Плечі
Корнєтися,Повертатися
Корнєтися,Будитися Зі Сну
Корняти,Порушувати
Крепнути,Згинути
Крижма,Полотно До Хресту Дитини
Крижма,Подарунок Кумів На Хрестини
Крижувати,Розпинати На Хресті
Кримка,Хутро Кримської Вівці
Кримка,Хутряна Шапка
Кулеша,Мамалига
Кудуманка,Хижа
Курмей,Воловід
Курмей,Мотуз
Кутаниця,Доглядачка
Кутати,Піклувати
Кучма,Папаха
Кушкатий,Носатий
Лаба,Нога
Лагоїти,Заспокоювати
Лаз,Лука
Лаз,Сіножать
Лая,Тічня
Легіт,Вітер
Леник,Плата
Лифа,Відсоток
Лифа,Процент
Ліса,Тин
Лісничка,Дика Яблуня Або Груша
Літепло,Тепла Вода
Ліцитація,Продаж За Борги
Лодва,Груба Тертиця
Ломаджє,Сухостій
Лоточити,Пропустити Через Лотоки
Лунчина,Тогорічна Бринза Чи Солонина
Люба,Любов
Люба,Кохання
Люба,Любощі
Лютруватися,Булькотіти
Ляндштурмаки,Кіннотники
Льонт,Безпритульний
Малай,Кукурудзяний Хліб
Мальтретувати,Глумитися
Мантар,Обдурювач
Мантля,Військовий Плащ
Маркотний,Сумний
Маркотний,Незадоволений
Марфа,Товар
Марфа,Крам
Матура,Атестат Зрілості
Медіний,Медяний
Мерва,Потерта Солома
Мершня,Стерво
Митла,Купа
Миром,Мирно
Млаво,Мляво
Млака,Багниста Сіножать
Млака,Трясовина
Млаковинка,Болотиста Низина
Моздір,Саморобний Прилад Для Вибуху
Моцювати,Лагодити
Моцювати,Скручувати
Мочуло,Ставок Для Мочення Конопель
Мошя,Баба
Мулити,Замулювати
Мухариця,Мухомор
Набилювати,Приговорювати
Набилювати,Намовляти
Навадитись,Нагодитися
Нагабити,Найти
Нагабити,Напасти
Нагилити,Надіслати
Нада,Принада
Надсадитися,Підірватися
Накрити Голову,Вийти Заміж
Наломом,Над Потребу
Наломом,Через Верх
Напрасно,Зухвало
Нараквиці,Манжети
Наторопом,Приступом
Недалекі Гони,Близька Смерть
Недоповіджені,Недомовлені
Неконсекветність,Непослідовність
Непричком,Випадково
Нявка,Лісова Русалка
Обарінок,Бублик
Обедувати,Пестити
Обедувати,Любувати
Обзубеланий,Загнузданий
Оборіг,Рухливий Дашок Над Стіжком Сіна
Обхаїти,Обчистити
Огузок,Нижня Частина
Огузок,Інколи Тягар
Оденок,Стіжок
Одерзнутися,Сердито Відповісти
Одлук,Згідно
Одлук Права,Згідно Закону
Окян,Бінокль
Омпити,Сумніватись
Омраза,Гидота
Омразний,Гидкий
Оскочити,Залишити
Остікситиси,Сказитися
Отік,Як-От
Отік,Неначе
Отік,Гей Би
Офірівщина,Пожертвування
Падеси,Припадає
Падеси,Належиться
Патентар,Пенсіонер
Паторочь,Бійка
Пацити,Пережити
Пацити,Перетерпіти Щось
Перебашні,Вибачливі
Перебійці,Засік
Переверци,Котитися Перевертом
Передрєгнути,Перестудитись
Передрєгнути,Перемерзнути
Перепачкувати,Пронести Контрабандою
Перешінкати,Перев'язати Хустку На Шиї
Петик,Суконна Верхня Одіж
Півкавки,Свистки
Піворити,Верещати
Підбечовувати,Помагати Тягнути
Підхлібний,Улесливий
Підштрикнути,Підскочити
Пізьма,Гнів
Пізьма,Відраза
Пісніти,Бліднути
Піхати,Товкти
Плюнути В Цівок,Стріляти З Кріса
Плявза,Наклеп
Побезпечити,Запевнити
Побій,Дах
Повага,Авторитет
Повенити,Заливати
Повилитись,Нахилитись Падаючи
Погодіти,Підождати
Позавуш,Поза Вуха
Позяєк,Наскільки
Поковтувати,Постукувати
Поличман,Ляпас
Половик,Шуліка
Полонина,Гірський Випас
Полотнянка,Виношена Сорочка
Полотнянка,Руб
Помірок,Нивка
Попід Сили,Попід Пахи
Попісніти,Збліднути
Попісніти,Посумніти
Поповнити,Нагородити
Поповнити,Заплатити
Поріб'я,Ребра
Порозштрикатися,Порозскакуватись
Порунтати,Зрушити
Порція,Чарка Горілки
Посороми,Сороміцькі Слова
Поставничок,Свічничок
Постерунок,Поліційна Управа
Постивати,Завмирати
Постивати,Холонути
Постів,Постіл
Потавати,Потопати
Потановити,Потрутити Вдолину
Потановити,Втихомиритися
Потановити,Спинити
Потермусити,Потрясти
Потерпати,Дрижати Зі Страху
Потич,Сторч Головою
Потужити,Більш Тугим Учинити
Потужити,Зміцнити
Пофосолитси,Пощастити
Право,Суд
Пражити,Смажити
Пражити,Припікати
Прем,Направду
Пренумератор,Передплатник
Приділок,Пола Жіночої Сорочки
Принука,Присилування
Приписовий,Програмний
Приповздитиси,Припізнитися
Приповідатиси,Признаватися
Приподрювати,Прилагоджувати
Присилити,Прив'язати
Причка,Лиха Пригода
Пробощ,Парох
Проклєтюк,Проклятий
Прокуратний,Розпусний
Прольонгата,Проводжання
Пропадьоска,Погибель
Пропускатися,Вибухати
Протіс,Дерево
Протіс,Розрізане На Дві Половини
Профецирка,Професорка
Прошивка,Вишивка На Сорочці
Псєнка,Багна
Псєнка,Зібране На Багні
Публіка,Поговір
Публіка,Також Горілчаний Хміль
Публічити,Соромити
Пустий,Лихий
Пуцувати,Чистити
Пушкар,Стрілець
Пушки,Пучки
Пушки,Пальці
Рекурс,Апеляція
Ретельний,Дійсний
Ретельний,Совісний
Ретенно,Певно
Ригорозальний,Суворий
Ригорозальний,Карний
Ризи,Жоліб До Спускання Дерева З Гори
Рисак,Грифель
Розбезпечуватися,Почувати Себе Вільно
Роздиїти,Показати
Роздиїти,Відкрити
Роззубелити,Розгнуздати
Розмняцкати,Роздавити
Розмняцкати,Роздушити
Розпукатися,Тріскатися
Розшєбнути,Розірвати
Руб На Рубі,Латка На Латці
Рунтати,Рушати
Сальва,Залп
Сама,Пошана
Мати В Самі,В Пошані
Саманати,Подобати
Саманати,Скидатися
Саняка,Син
Саняку,Синку
Сарака,Бідний
Сардак,Гуцульський Верхній Одяг
Свідім,Відаю
Не Свідім,Не Відаю
Сервус,Спілка
Тримати Собі Сервус,Тримати Спілку
Сітенький,Святенький
Скавулений,Згорблений
Скавулений,Похилений
Скамузь,Дрібні Шматки Чогось Розтрощеного
Скорнєтиси,Збудитися
Скорнєтиси,Піднятися
Скорнєтиси,Повернутися
Скриптури,Писання
Скруцак,Сплетення Хусток
Скруцак,Скрутінь
Славайсу,Слава Iсусу Христу
Смучий,Чортячий
Смучий,Анафемський
Сночі,Учора Звечора
Содухи Віженут,Душу Виженуть
Сорокатий,Рябий
Сороківці,Монети
Спасувати,Жартувати
Сперхнути,Стрепенутися
Сперхнути,Швидко Повернутися
Спирати,Стримувати
Сполокати,Зчистити
Сполокати,Все Забрати
Сполокати,Пограбувати
Спорий,Чималий
Спритішний,Спряточний
Стая,Хата На Полонині
Стежа,Розвідка
Стежа,Роз'їзд
Стокмити,Згодитися
Стокмити,Домовитися Про Плату
Стопитися,Згоріти
Страшків Син,Боягуз
Стрик,Батьків Брат
Стріл,Постріл
Стромий,Крутий
Строшений,Збіднілий
Субтельний,Ніжний
Таксакатор,Урядова Особа
Таліян,Італієць
Тановити,Спихати
Таркатий,Каркатий
Ташка,Калитка
Терєти,Втрачати
Термінє,Тріски
Тестамент,Заповіт
Тєгло,Коні
Тєкнути,Щезнути
Тилинка,Сопілка З Вербової Кори
Тісар,Цісар
Тіска,Кіска
Тіска,Коса
Токма,Угода
Торгатися,Вириватися
Трабувати,Бажати Чогось
Трачка,Тартак
Трачка,Лісопильний Завод
Трепета,Осика
Трепетовий,Осиковий
Трошьити,Марнотравити
Трошьити,Витрачати
Троща,Очерет
Туго,Ціпко
Туго,Міцно
Туго,Раз Коло Разу
Турлаш,Безладна Купа Ковбків
Ув'єти,Зів'яти
Ув'єти,Ослабнути
Углагоїти,Заспокоїти
Укий,Досвідчений
Ургувати,Прискорювати
Фана,Прапор
Фасувати,Отримувати
Фасувати,Одержувати
Фебр,Фельдфебель
Фебр,Командир
Ферії,Перерва У Навчанні
Флетівня,Парубоцтво
Флеєра,Довга Сопілка Без Денця
Фльонт,Клейтух
Фльонт,Пиж
Фолоситися,Щаститися
Форшпан,Повинність
Форшпан,Відроблювана Підводами Й Кіньми
Фоя,Глиця
Фуджелити,Заносити Снігом
Фурт,Раз У Раз
Фуфела,Метелиця
Хавтур,Книш
Харчувати,Їсти
Харчунок,Частування
Хибити,Бракувати
Хітар,Готар
Хороми,Сіни
Хорімні,Сінні
Храбуст,Молоде Листя Капусти
Христінин,Мужик
Цара,Обора
Цвайка,Березова Вужевка
Цловий,Митний
Цурканка,Важка Робота Кайлом
Цяпати,Капати
Чако,Військовий Головний Убір
Чапрага,Застібка
Чертоги,Скрині
Чиколонки,Кістки На Руках
Чиколонки Їсти,Гризти Пальці
Чинитиси,Удавати
Чирчик,Дуже Низький Смушок
Чільце,Дівочі Прикраси
Чіпіти,Стати Неповорушно
Чоргало,Малий Потік З Дощу
Чугайстир,Веселий Дух
Чюріти,Дзюрчати
Шварма,Бойова Лінія
Шворк,Скіць
Шворк,Стриб
Шкамутки,Трісочки
Шкамутки,Шматочки
Шниріти,Шукати
Шниріти,Бігцем Слідити
Шпотатиси,Спотикатися
Штайранти,Місцевий Уряд
Штрикати,Скочити
Штроф,Штраф
Шустки,Дрібні Монети
Шух,Стос
Ятися,Йтися
Ятися,Личити
Ятися,Належати
Чічєний,"Гарний, Як Квітка"
Чвертка,Половина
Чепіль,Старий Ніж
Читура,Поливана Банка
Чільце,Відбірне Жито
Шахер-Махер,Оборудки
Шацувати,Оцінювати
Шваби,Німці.
Шиблик,Сучок
Шиги-Ригі-Дана,Дикі Танці
Шифкарта,Проїзний Квиток На Корабель
Шільд,Вивіска
Шінка,Зав'язка На Сорочці
Шкамутки,Клапті
Шмір,Мазут
Шпарувати,Економити
Шпіцнамсько,Прізвисько
Шпортатися,Спотикатись
Шприха,Спиця В Колесі
Шпулька,Котушка
Шрам,Шмат
Шрот,Дріб
Шруба,Шуруп
Шрубстак,Лещата
Штаєра,Галопом
Штрикати,Кидатися
Штуб,Порохнявий Стовбур
Штус,Тумак
Штус,Стусан
Штуц,Саморобний Пістолет
Шубер,Заслінка В Димоході
Шульок,Кукурудзяний Качан
Щіва,Кінський Щавель
Щкуритисі,Прижмурюватися
Юдити,Підбурювати До Незгоди І Розбрату
Юник,Саламандра
Юз,Тормоз
Яловеча,Безплідна Вівця
Ясик,Подушечка
Ага,Ясно
Божкувати,Тримати Піст
Вурда,Сир
Га,Повторіть Ще Раз!
Гурка,Ковбаса З Рисом
Ґомба,Ґудзик
Ґейзлик,Туалет
Ґражда,Гуцульська Хата
Ґумаки,Резинові Чоботи
Джвиндіти,Надокучати Пискливим Голосом
Діждати,Дочекатися
Дотив,До Того Часу
Дрантивий,Рваний
Забагати,Захотіти
Зелепуги,Зелені Недоспілі Плоди
Имитиси,"Взятися, Схопитися За Щось"
Ірщінє,Хрещення Дитини
Йойкати,Охкати
Йойкати,Стогнати
Кантлик,Бiдон
Капчур,Шкарпетка
Кивати,Торкатися
Корнєти,Будити
Лаба,Лапа
Леквар,Варення
Ливор,Посудина
Лопта,Мяч
Маленько,Трохи
Миска,Залізна Тарілка
Ниборе,Друже
Огідний,"Той, Хто Все Встигає"
Папучі,Кімнатне Взуття
Пеленка,Пелюшка
Пироги,Вареники
Плентатиси,Плутатися
Погар,Стакан
Поплан,Ковдра
Пуцувати,Мити
Розмітувати,Розкидати
Сіркачі,Сірники
Сербати,Їсти Рідку Страву
Тачілка,Качалка
Тісто,Пиріг
Токмити,Умовляти
Топанки,Черевики
Торбонца,Тачка
Трафити,Потрапити
Укутатиси,Вкритися
Урудувати,Упорядковувати Справи
Утєти,Врізати
Фінджє,Кружка
Фустка,Платок
Цидулка,Справка
Цидулка,Записка
Чічиний,Чесний
Чейко,"Нічого, Не Біда"
Чорницє,Ожина
Штіфлик,Окурок
Штрика,Залiзниця
Штрімфлі,Носки
Щубирати,Збирати Траву
Алярмово,Негайно
Алярмово,Терміново
Андрути,Вафлі
Ашош,Звичайно
Баба,Гора
Баба,Височина
Баба,Великодня Паска
Багна,Волога Місцевість
Багрівка,Смерекова Смола
Бадилля,Сухі Стебла Рослин
Бай,Банкет
Байбарак,Короткий Кожушок
Байфус,Розтрата
Банно,Сумно
Баняса,Велика Сокира
Баршівка,Вишитий Чоловічий Фетровий Капелюх
Батяр,Хуліган
Батяр,Дворовий Хлопець
Батяр,Авантюрист
Берівка,Бочечка
Бокори,Плоти Для Сплаву Лісу
Бранзолєт,Браслет
Брикнути,Упасти
Бричений,Голений
Бріхташка,Шкіряна Сумочка
Бубка,Невелика Рана У Дитини
Будз,Головка Овечого Сиру
Буковець,Буковий Ліс
Бурак,Буряк
Бутинар,Лісоруб
Бутля,Велика Скляна Банка З Вузьким Горлом
Верховинець,Мешканець Гори
Вінєтка,Фотографія Великого Гурту Людей
Вуставка,Вишивка На Рукавах Жіночої Сорочки
Галпшуга,Туфля
Гемблювати,Торгувати
Глигати,Пити
Глигати,Ковтати
Година,Затяжні Дощі
Горбатка,Пояс Для Спідниці
Гуголник,Капюшон
Ґаздиня,Добра Господиня
Ґарувати,Довго Та Важко Працювати
Дека,Накидка
Дерти Барабулі,Копати Картоплю
Джирга,Ліжник
Днински,Щоденно
Добритиси,Миритися
Досвіток,Світанок
Дратва,Груба Нитка
Єк Дужі?,Як Здоров'я?
Єшниця,Яєшня
Жарівка,Електрична Лампочка
Зарва,Зсув Грунту
Звор,Вузьке Міжгір'я
Здибанка,Побачення
Зупа,Суп
Інфлюенца,Грип
Кавалок,Уривок
Калганівка,Горілка На Калгані
Кельнер,Офіціант
Крисаня,Чоловічий Літній Фетровий Капелюх З Прикрасами
Куку В Руку,Дати Хабара
Лайдак,Бездомна Людина
Ліжник,Вовняна Ковдра Або Килим З Геометрічними Візерунками
Льопа,Мокрий
Майтки,Жіночі Труси
Мальфей,Чаклун
Мармуляда,Мармелад
Мендувати,Повідомляти
Микати,Виривати Бур'ян
Нора,"Джерело, Що Б'є З-Під Землі"
Осік,Ліс На Крутій Горі
