Ukrainian,Hutsul
"Адже те, що я кажу, розуміється саме собою","Прецінь тото, шо йа ка'у, розуміється акурат собов."
"Рушниця, як дівка, — треба до неї приноровитися","Кріс, єк ґівка, — тре ід ню приноровитися."
Але справа раптом повернулась до нього зовсім несподівано,Айбо інтерес нараз повернулась ід нього прем напрасно.
"Щасливий батько, весела мати, Настала згода, прийшло довір'я","Шісливий дід, жертівлива няня, Настала токма, прийшло довірє."
Але від цього йому стало ще тяжче,Айбо вид сего йиму стало шє тєжше.
"Може, вона має до нього якийсь жаль","Годен, уна має ід нього йикийс жєль."
"(Саме вони, ті, що прийшли до нього.)","Акурат уни, тоти, шо прийшли ід нього."
"Я думаю, що то збирається великий дощ",Й ця гадка уводно шо тєнґий дошь.
"Він вибрав місце — ось тут, о","Вин вибрав пляц — леда гир, адьи."
"Але ще краще, що ти вмієш думати","Айбо шє крашше, шо тьи вмієш думати."
"Ну ніби лампочка, свічка або малесенький ліхтарик","Ну отік лямпочка, свічька альбо міціцький лямпічка."
"Так, ніби те все від тебе залежить","Йо, отік тото всьо вид тє залежить."
"Що в тебе тут, жінка чи дитина","Шо в тє гир, чілідина ци бахурчік."
І вона не може до тебе прийти,І уна ни годен ід тє з'євитси.
Але ж це ми тільки тут так,Айбо ж цисе ми іно гир йо.
"Я так і думав, що він там","ЙА йо і гадав сми, шо вин генде."
"Тільки вона вхопила, Микола зверху на неї..","Іно уна вхопила, Микольцьо зверьхи на ню.."
"Він все думав, що перебуває тут випадково..","Вин всьо думав сми, шо перебуває гир непричком.."
"Я повторюю, що мені обов'язково треба розповісти","ЙА повторюю, шо мені конче тре виповістувати."
"Сьогодні, завтра, через місяць — те саме","Сигодне, завтре, чіріз місіц — тото акурат."
"А може, і справді хто думав пограбувати","А годен, і варе хьто гадав сми сполокати."
"Але це, може, тому, що боїться розправи","Айбо цисе, годен, тимунь, шо боїтси розправи."
"Ти хочеш сказати, що це ще небагато","Тай хочиш зговорити, шо цисе шє нибогато."
"Мені здається, що він уже кається","Мині отєк, шо вин уже каєтьсми."
Аж тут ще одна несподівана напасть,Аш гир шє онна несподівана побліка.
"Одна нога тут, а друга там","Інна лаба гир, а друга генде."
"Хоч мені здається, що воно чуже","Хоч мині отєк, шо воно зайдейське."
Через якийсь час йому стало легше,Чіріз йикийс чєс йиму стало лєкшє.
"ну, як так сказати, — норовистий..","Ну, єк йо зговорити, — вар'ят.."
"Тут щось вона, ця дівчина, переборщила""","Гир шош уна, ся чєрса, переборщила."
"І ось саме тому ""життя погане""","І леда акірат тимунь ""житє нієке""."
"Він, мабуть, думав, що ми голопуцьки","Вин, відав, гадав сми, шо ми голопуцьки."
Все це мені не до вподоби,Всьо цисе мені не до вподоби.
"Аж поки ніж став, мов бритва","Аш заків брич став, гейби брич."
"Очевидно, вони були щирі між собою","Видко, уни були шшірі міжи собов."
Що ти ще тут маєш говорити,Шо тьи шє гир маєш приказувати.
Як добре я пригадую той склеп,Єк єлоси йа пригадую тамтой кооператив.
"Але справа така, що краще тут","Айбо інтерес така, шо крашше гир."
"Але що сталося: тихо, аж боляче","Айбо шо трафилося: ціхо, аш боляче."
(Це таки справді якась інша раса!),(Цисе прем варе йкас иньша раса!)
Як кажуть: нехай вам здоров'я прибуде,Єк говорєт: най вам здоров'ячко прибуде.
"А може, йому треба було вигадувати","А годен, йиму тре було відштудеровувати."
Звідки Андрій про все те знає?,Иків Андрій про всьо тото знаї?
Звідки він прийшов на це подвір'я,Иків вин прийшов на цисе подвірічко.
"Трохи не так, але дуже подібно","Маленько ни йо, айбо моц подібно."
Місяць тому вона говорила те саме,Місіц тимунь уна говорила тото акурат.
"Ні, це тільки так йому здається","Ні, цисе іно йо йиму отєк."
"Треба швидко впоратись: гуртом, як один","Тре борзо впоратись: намішма, єк один."
Хто швидше — ті чи вона,Хьто борше — тоти ци уна.
"Ось це і є вона, Смерть","Леда цисе і буют уна, Авс."
"Уявили, що тут відбувається щось цікаве","Уявили, шо гир траф'єїтси шош кортєчє."
Ще треба гроші взяти на квиток,Ші трохі та й заріжетси!
"Так, як тільки тут уміють париться","Йо, бо інструмент ни любит, їк ‘го довго ни брати до рук, вин витак фист си противит та й ни слухаїтси в руках музиканта."
"Це дуже добре, що ми договорились..","Цисе моц єлоси, шо ми договорились.."
Ось тут зараз має бути закрут,Леда гир зараз має абиде закрут.
Є ще один чоловік: Кирило Лукич,БУЮТ шє оден хлоп: Кирило Лукич.
"— Вибачай тільки, що більше нічого..","Вібачєй іно, шо бірше нич.."
"Доля— це щось таке, як хуртовина","Фант— цисе шош таке, єк фуфела."
"як його звали, забув зовсім ім'я","Єк го звали, забув прем мнє."
Але тут же відмовився від цього,Айбо гир же відмовивсми вид сього.
Але він боїться показати цю тривогу,Айбо вин боїтси роздиїти цисю тривогу.
— Я сьогодні це саме думав,"""— Я сьогодні це саме думав сми."""
Але все-таки справи посуваються дуже мляво,Айбо всьо-прем справи посуваються моц млаво.
"Я прийшла до тебе, як сновида","ЙА прійшла ід тє, єк сновида."
Точно як ті бідні італійці недавно,Адійо єк тоти бідні італіяни оногди.
"Тоді Степан, плутаючись, почав пояснювати йому","Тогди Штефан, плутаючись, єв тлумачити йиму."
Ось чому я намагався попередити кровопролиття,Леда чьо-сте йа намагався запобігчи каліцтво.
"Мабуть, йому все-таки не сподобалося, що Андрій його так знамените розколов","Відав, йиму всьо-прем не удалоби си, шо Андрусик го йо знамените розколов."
"Але, ні, не може бути","Айбо, ні, не годен абиде."
"Отак через смерть багатство роблять!""",Отак чіріз авс богацтво роб'єт!
"— Кажуть, що він тут","— Говорєт, шо вин гир."
Ті чи вам життя набридло,Тоти ци вам житє вкимилосі.
"Навіщо, справді, його грошам пропадати","Нашьо, варе, го грошам гибіти."
"Ну, добре, що це жарт","Ну, єлоси, шо цисе жерт."
"""Степан справді буває дуже злий",Штефан варе буває моц пустий.
Бажання — це мати думки,Хіть — цисе неня здохи.
Він більше нічого не знає,Вин бірше нич не знаї.
"А може, варто ворушити страх","А годин, варто тівати під."
Дивуватися мені було більше нікуди,Зуміватися мені було бірше нікуди.
Він справді починає п'яний танок,Вин варе починає пйиний данец.
Тепер мені іще цей клопіт,Тай нас тіпер міні іще ціс клопоція.
Як пізно він це зрозумів,Єк пизно вин цисе зрозумів.
А може й те ще..,А годин й тото шє..
Він хоче те все бачити,Вин хоче тото всьо пизнати.
"Все, що від тебе потрібне","Всьо, шо вид тє потрібне."
Потім жаль звогчив його очі,Витак жєль звогчив го сліпаки.
Він долізе-таки до свого порога,Вин долізе-прем ід своєго порога.
"— Так саме, як тут","""— Йо акурат, єк гір""."
"Довелося йти обережно, надзвичайно пильнувати","Ялося ити сохранно, надзвичайно пазити."
Ось це і є межа,Леда цисе і буют хитар.
"А може, й усе життя","А годин, й капєц житє."
Але ж не так відразу…,Айбо ж ни йо видразу...
Раптом все пішло несподівано швидко..,Нараз всьо пішло напрасно борзо..
"Високий, як батько, дебелий красень","Штивний, єк дьидик, дебелий красунь."
Наш слід до неї виведе,Наш пощік ід ню виведе.
Але все-таки Максим його вигнав,Айбо всьо-прем Максим його вигнав.
"Прислухайтесь: цікаво, як говорить народ","Послухайте: вере, єк говорить нарід."
"""Це дуже цікаво"",— подумав Степан","""""Цисе моц вере"",— подумав Штіфан""."
Це вона тільки змиє все,Цисе уна іно змиє всьо.
"Так от, це все неправда","Йой, єк, цисе всьо ниправда."
Час я проводжу тут добре,Чєс йа проводжу гир єлоси.
"Ніби він закам'янів, чи що","Отік вин закам'янів, ци шо?"
Завтра вже може бути пізно…,Завтре вже годен абиде пизно…
"Андрій відповідав мляво, але точно","Андрусик відповідав млаво, айбо адійо."
Але їсти все-таки  не міг,Айбо харчувати всьо-прем  ни міг.
І що там роблять брати?.,І шо генде роб'єт братя?
Йому несила так піти геть,Йиму ни міг йиго перепити гет.
"Яка любов, коли смерть довкола","Ика люба, коли авс наоколо."
"— Так, це той, що..","""— Йо, цисе тамтой, шо.."""
— Все це так зненацька..,— Всьо цисе йо нагло..
"Або загинути так, без бою","Альбо крепнути йо, бес бою."
І звідки він його знає,І иків вин го знаї.
Так ніби їм зовсім байдуже,Йой отік їм прем байдужно.
Тоді Максим почав умовляти його,Тогди Максим єв токмити го.
"Портрет виходив гарний, дуже подібний","Портрет виходив файний, моц скапенний."
"Може, ми ще колись побачимось","Годен, ми шє колис побачимось."
Але звідки вони все знають,Айбо иків уни всьо знають.
"""Вони до неї теж прийдуть",Уни ід ню теж прийдуть.
"Отже, я вклинився через випадок","Отєж, йа вклинивсми чіріз трапунок."
Тепер треба гарно все попіднімати,Тай нас тіпер тре айно всьо попіднімати.
"Видно, велика тривога в неї","Видко, бірьшя алярм в ню."
— Чи тут живуть дівчата..,"""— Ци гир живуть челяґь.."""
"Якщо так, то до кінця!""","Наколи йо, та ід кінця!"
Тільки дуже повільно плине час,"Іно мулило йиго, єк чєс."
"Ти думаєш, що я боягуз","Тай думаєш, шо йа страшків син."
"Як добре, що він босий","Єк єлоси, шо вин босий."
Але той шлях йому заказаний,Айбо тамтой гостинець йиму заказаний.
(Нині я не так думаю!),Сьогодні йа не йо гадкую!
Свій чи чужий цей натовп,Свій ци чюжий цес глітно.
"Людина є мразь, порох, ніщо","Людьина буют мразь, ковпіт, ничьо."
"Здається, вони перемовлялися між собою","Отєк, уни перемовлялись мижи собов."
"Я не такий, як вони","Й, нє такий, єк уні."
"Тепер, звичайно, немає нічого похожого","Тіпер, ашош, не суть нич похожого."
Але хто про це знає,Айбо хьто про цисе знаї.
Я через тебе загубив окуляри,ЙА чіріз тє загубив коляри.
"Це хтось, хто його знає","Цисе хтось, хьто го знаї."
Але ж ти чому там,Айбо ж тьи чьо-сте генде.
"Вийшов тихо, щоб не розбудити","Війшов ціхо, абесте не скорнєти."
"Батько мій італієць, мати слов'янка","Дьидик мий таліян, неня слов'янка."
"Як же так, без нічого","Єк же йо, бес нич."
— Це майже як людина,— Цисе єкмай єк людьина.
— Звідкіля ти це взяла,— Відків тьи цисе зафатила.
"Н-да, тут треба бути пильним","Н-да, гир тре абиде пильним."
"— О, я тебе розбудила..","— АДЬИ, йа тє избужєла.."
"Так, так, почалася пора світлячків","Йо, йо, зчєласи мент світлячків."
Тепер він один як палець,Тай вин оден єк палець.
Я хочу бути коло вас,ЙА багну абиде круглєк вас.
Тепер скоріше вибратися б звідси,Тай нас тіпер борше вицофатити б вици.
А поки що життя важке,А заків шо житє важке.
"Я думаю, що він плакав","ЙА гадкую, шо вин плакав."
"Диви, щось дуже знайома місцина","Ади, шош моц знакомиця місцина."
— Що він там говорить,— Шо вин генде балакає.
Скільки ще треба встигнути написати,Кілько шє тре вглюзати написати.
Тоді він почав боятися мене,Тогди вин єв боєтиси мене.
А застрілився він зовсім недавно,А застріливси вин прем оногди.
Але потім вони роззнайомились ближче,Айбо витак уни роззнайомились ближче.
"Було ось так, як є","Було леда йо, єк буют."
Аж тепер я це згадав,Аш тіпер йа цисе згадав.
Адже я — червоний директор,Прецінь йа — черлений дьиректор.
"Я скажу йому, що трунар","ЙА вікажу йиму, шо трунар."
Аж ось де вони причаїлися,Аш леда де уни причаїлись.
Так ось зараз вона буде,Йо леда зараз уна буде.
Тепер якраз іди собі спокійно,Тіпер якрас иди собі миром.
І це так само правильно,І цисе йо само ріхтіґ.
— Зараз я скажу йому,"""— Зараз йа вікажу йому""."
"Признаюсь аж тепер, що кинув","Признаюсь аш тіпер, шо верх."
Це я вже від себе…,Цисе йа вже вид себе...
"""А що, його день завтра?""","А шо, го днина завтре?"
"Це, видно, було йому цікаво","Цисе, видко, було йиму вере."
"Чи я осел, чи ти..","Ци йа вислюк, ци тьи.."
"Я відчула, що він тут","ЙА відчула, шо вин гир."
— Ось тут ось внизу..,— Леда гір леда понизьше...
Не може ж бути інакше,Не годен ж абиде инак.
Не може — це ясно,Ни годен — цисе ага.
"Авантюрист ти, як я бачу","Батяр тьи, єк йа бачи."
"Те саме, що й ми","Тото акурат, шо й ми."
Навряд чи це саме так,Навряд ци цисе акірат йо.
"Дзелень-дзелень, назад, залізо пече очі,","Дзелінь-дзелінь, взад, зелізо пече сліпаки."
"Цікаво, що мені Загата скаже","Вере, шо мені Гакь скаже."
Тепер вони мерзнуть мені повсякчас,Тіпер уни морозять мені уводно.
"Ти занадто упертий, але нічого..","Тай занадто занорий, айбо нич.."
що ти там ще мазюкаєш!.,шо тьи гинде шє мазюкаєш!.
Незабаром російська армія розвинула наступ,Делінь руска войсько розвинула офензива.
"О, він це добре знав","АДЬИ, вин цисе єлоси знав."
"Вони говорили щось, аби говорити","Уни говорили шош, би приказувати."
"Те ""щось"" ішло йому назустріч","Тото ""шош"" ішло йиму назустріч."
"А що ми без неї?..""",А шо ми бес ню?...
"Але й те, що є!.","Айбо й тото, шо буют!."
Він їде на інше полювання,Вин рушєє на инче гайт'ови.
"Сталося те, що давно назрівало","Трафилося тото, шо давнійше назрівало."
"Проте, повагавшись трохи, вирішив-таки піти","Прецінь, повагавшись маленько, вирішив-прем піти."
"Лихо жде, але йти треба..","Біда чекає, айбо ити тре.."
"Та ні, не може бути","Та ні, ни годен абиде."
Завтра я від'їздю до Генуї,Завтре йа від'їздю ід Генуї.
— Я роблю це саме,"""— ЙІ роб'є цисе акєрат""."
"Це те, що буде потім","Цисе тото, шо буде витак."
Цього ніколи не може бути,Сего ніколи не годен абиде.
"Вони ждуть полону, як щастя","Уни чікають полону, як шчастя."
"Я мушу тобі сказати, що мені тяжко говорити про любов","ЙА мусю тобі зговорити, шо мині тєжко приказувати про люба."
"""Кажуть, Синиця заникує до неї","Говорєт, Синиця заникує ід ню."
"Отже, і він може померти","Отєж, і вин годен споч'іти."
Але так було тільки зранку,Айбо йо було іно досвіта.
"Ходи, проведу тебе до хати","Ходьи, проведу тє в хату."
— Тоді його треба зняти,— Тогди го тре скігнути.
"Це тут тато ""Вісті"" читають","Цисе гир дєдя ""Вісти"" читають."
Адже колись він тут був..,Прецінь колис вин гир був..
Чуже залізо й чужий вогонь,Зайдейське зелізо й чюжий ватра: Зайдейське желєзо й чюжий вогонь.
"Запиши сам себе, ось тут-о..","Запиши сам себе, леда гир-адьи.."
Але як до цього підійти,Обода їй ід сего підійти.
"Кожен думав, що то він","Жядний гадав сми, шо то вин."
Чому це так йому прирекли?.,Чьо-сте цисе йо йиму прирекли?.
І він до цього покликаний,І вин ід сего мусю.
Що він мав від нього,Шо вин мау вид нього.
Однак більше не кажуть нічого,Прецінь бірше не говорєт нич.
"Як він змужнів, цей Роман!.","Єк вин змужнів, цес Ромко!"
"Це візник, що чекав його","Цисе фирман, шо чекав го."
"""І це тому вони дивляться?.",І цисе тимунь уни див'ютси?
І це той страх говорить,І цисе тамтой пуд балакає.
"НОВИЙ ЗАПОВІТ, Євангелія від св","НОВЕНЬКЄЙ ТЕСТАМЕНТ, Єнгелія вид св."
"Так, я пам'ятаю про це","Йо, йа памнітаю про цисе."
"Думав, що це від утоми","Гадав сми, шо цисе вид утоми."
Мені стояти тут чи йти,Мині стояти гир ци ити.
Це все-таки була велика приємність,Цисе всьо-прем була бірьшя приємність.
Щось вона дуже йому боліла,Шош уна моц йиму боліла.
Він перший кинув уламок скелі,Вин перший верх уламок грегіт.
До нього треба тільки підійти,Ід нього тре іно підійти.
"— О, важко все починається…","— АДЬИ, тєжко всьо зачінаї…"
Суха ковила ще стояла міцно,Прошушена кійло шє стояла туго.
Але щоб так лаялась жінка,Айбо абесте йо лаялась чілідина.
"Це, напевно, було прибране ім'я","Цисе, відав, було прибране мені."
"Іди, не хочу тебе бачити","Иди, не багну тє пизнати."
"Відомо, що там усе є","Відомо, шо генде капєц буют."
"Проте вони знають, що живуть","Прецінь уни знают, шо живуть."
Мав говорити голова місцевого запілля,Мау приказувати гола місцевого затилля.
І ось треба все залишити,І леда тре всьо оскочити.
Ось проходить понад очеретами навпростець,Леда траф'єїтси поверх очеретами напопереки.
Чому я зобов'язаний його жаліти,Чьо-сте йа зобов'язаний го жґелувати.
Звідкіля тільки все те береться,Відків іно всьо тото береться.
Але зовсім- ніби й правильно,Айбо прем- отік й ріхтіґ.
"Чи сниться, чи справді діється?.","Ци снитци, ци варе траф'єїтси?."
Так що ми тебе охороняємо..,Йо шо ми тє охороняємо..
Але це ще не все,Айбо цисе шє не всьо.
"Але він прийшов не так, як звичайно ходить вечір","Айбо він прийшов ні так, як звичайно ходить вечір."
"Все, що заважає його відчувати, чуже й байдуже мені","Всьо, шо заважєє го відчувати, зайдейське й байдужно мині."
"Просто я хочу, щоб цей місяць тут кипіла робота","Просто йа багну, абесте цес місіц гир кипіла праца."
"Чого це вони так, неначе злодії, роблять своє діло","Чого цисе уни йо, отік злоґійня, роб'єт своє інтерес."
"Яка радість не побачити завтра те, що бачиш сьогодні","Ика радість не уздріти завтре тото, шо бачиш сьогодне."
Доки я можу чекати,Доків йа можу попіждати.
Ми це все бачили..,Ми цисе всьо відчули..
— Це зовсім інше,— Цисе прем инче.
"О, ми ще подивимось","Адьи, ми шє подивимось."
"""Чому ж ""так собі""","Шо йої, йой."
Зараз я тебе зловлю..,Зараз йи тє зловлю..
"Вони ""йдуть у бій""!?","Уни ""йдуть у бій""!?"
"Ой, як свербить тім'я!.","Ий, єк свербить тім'я!"
"Мабуть, таки вже пізно","Відав, прем вже пізно."
"Ще нічого не видно!""",Шє нич не видко!
— Чому це раптом,— Чьо-сте цисе нараз.
Аж шкода було дивитися,Аш жєль було обзирати.
якщо той листочок осиковий,Наколи тамтой листочок дрижєвий.
"""Так, ми ще подивимось!""","""Йой, ми шє подивимось!"""
Я все точно підрахував,ЙА всьо адійо підраґував.
Все це сталося блискавично,Всьо цисе трафилося блискавично.
І зараз те саме,І зараз тото акурат.
Вони вже зовсім близько,Уни вже прем блиско.
"Чорт знає, що твориться","Мольфар знаї, шо творитьсми."
І грає її дівчина,І играє ї чєрса.
Запиши все-таки моє прізвище,Запиши всьо-прем моє порекло.
"Я вдав, що сплю","Шо йої, шо сп'ю."
"Я удавала, що сплю","Йи удавала, шо сп'ю."
Усе видить тільки Бог-Соварог,Капєц видить іно Біг-Соварог.
Адже ще чотири літа,Прецінь шє штири літовишшя.
Це ж його книги,Цисе ж го книжєчькє.
А ми тут що,А ми гир шо.
І я мушу йти,І йа мусю ити.
"Що там діється, Прісю","Шо генде траф'єїтси, Прісю."
Ой час і пора..,"Ий, час и мент.."
Це вийшло досить зухвало,Цисе вийшло доста напрасно.
Тоді я зважився відкрити,"Та йо, до ночі замітували копиці в обориг."
Щось він там господарював..,Шош вин генде господарював..
Вони ще досить стримані,Уни шє доста стримголовни.
"Я почав оглядати, кабінет","ЙА єв обзерати, кабінєт."
Чи справді вже пізно?!,Ци варе вже пизно?!
Я розумію його тепер..,"Й я цес очінаш цілком ни розумів, тимунь він и мині уритивси говорити, але за бабов мусів говорити, бо то було нипроше."
Те саме й там,Тото акурат й генді.
Щось між собою побубоніли..,Шош мижи собов побубоніли..
— Це до мене,— Цисе ід мене.
"Тепер ходи, щось покажу","Тіпер ходьи, шош покажу."
Зараз ми щось придумаєм,Зараз ми шош придумаєм.
"А мабуть, що так!.","Ий, шо йо!."
"Я гадаю, що Нерона","ЙА гадкую, шо Нерона."
Усе йде до цього,Капєц йди ид сего.
"Тільки мукає, як бугай","Іно мукає, єк ринґач."
"Або ми, або вони","Альбо ми, альбо уни."
"Він стоїть, як вовк","Вин стоїть, єк вовк."
Тоже мені нація зачухана,Гія мині нарід зачухана.
— Не може бути,— Ни годен абиде.
Вам це не личить..,Вам цисе не пасує..
Що ти мені говориш,Шо тьи міні говориш.
"он те, що впало","Адьи тото, шо впало."
"— Ти що, злякався","— Тьи шо, изжьих сі."
І все-таки вони кричать,І всьо-прем уни кричать.
Яка тут її роль,Ика гир ї роль.
Перекинули через плечі рушниці,Перекинули чіріз коркоші кольба.
— Хитрий ти чоловік,— Штудерний тьи хлоп.
— Іди до мене,— Иди ид мни.
Вони можуть зараз прийти,Уни можуть зараз з'євитси.
Журба пильно розглядав обличчя,Гриза зірко розглядав тварь.
"Стій, я зараз присвічу","Гальт, йа зараз присвічу."
Ось чому така смерть…,Леда чьо-сте така авс…
Що я там загубив?.,Шо йа генде загубив?
Звідки вони тут взялися,Иків уни гир взялисми.
Це ж той диявол..,Цисе ж тамтой юда..
Так я до вас..,Йо йа ід вас..
Потім зайдете до мене,Витак зайдете ид мене.
Саме — до нього,Акурат — ид нього.
Він заходить до Петрунів,Вин влазєєси до Петрунів.
Через це кінчаю писати,Чіріз цисе кінчаю шрайбати.
Ми все-таки вирішили подрімати,Ми всьо-прем вирішили подрімати.
Треба ж його мати,Тре ж го неня.
Тільки ти трохи почекай..,Іно тьи маленько почекай..
Але мені було байдуже,Айбо мені було байдужне.
Треба буде завтра щось,Тро буде завтро шош.
Але що це значить?.,Айбо шо цисе значить?.
Від цього стає легше,Від сього стає легше.
Час іти на побачення,Чєс ити на здибанка.
Звідси почнеться новий наступ,Вици почнеться новенькєй офензива.
Вірш адресую до тебе,Вершик адресую ід тє.
"""Та не може бути!!""","""Та ни годен абиде!!"""
Це ти замість Миколи..,Цисе тьи наміж Миколи..
Від цього стало страшно..,Від цього стало пудно..
"Ось вона, козача кров","Леда уна, козача тирба."
Сто — може бути,Сотка — годин абиде.
Через годину я від'їду,Чіріз годину йа від'їду.
Тут я можу танцювати,Гир йа можу данцувати.
Але все те дрібниці,Айбо всьо тото дрібниці.
"Бакун, так це ти?","Бакун, йо цисе тьи?"
Я її міцно потиснув,ЙА ї туго патиснув.
— Я пити хочу,— Йи глигати багну.
Як усе це опошлили..,Капєц цисе опошлили..
Це — її душа,Цисе — ї содухи.
Очі дивилися трішки знизу,Сліпаки дивилися крішка здолини.
"— Відаю, що далі","""— Свідім, шо оподаль"""
Чи догнав її Заєць,Ци дгонав ї Заєц.
Це — через Чебрець,Цисе — чіріз Чєбрик.
"Чи то я дитина?""..","Ци та йа бахурчік?..""."
"Цікаво, як його звати","Вере, єк го звати."
Голова все більше наморочилась..,Гола всьо бірше наморочилась..
"Очевидно, це тільки слова","Видко, цисе іно слова."
Чи живий той хлопчик,Ци живий тамтой хлопчіші?
Це я напевне знаю,Цисе йа бізівно знаю.
"Боже, якби йому рушниця","Боже, коби йиму кріс."
Але тут і господар,Айбо гир і ґазда.
Для чого вона тут,Для чого уна гир.
"Треба писати, коли почав","Тре шрайбати, коли єв."
Це триває п'ятнадцять-двадцять хвилин,Цисе триває п'єтнаціть-двайціть хвилин.
"Я тебе дуже, дуже..","ЙА тє моц, моц.."
Я зайшов до хати,ЙА зайшов ід хати.
Я все міг приховати,ЙА всьо міг спрєтати.
"Може, хата ця неплідна","Годни, осєдочьок ся неплідна."
Ось тільки трішки полеже..,Леда іно крішка ляже..
Йому йти повз млин,Йиму ити зовидіти млин.
"— Як це ""тут""","""— Єк цисе ""гир""""."
Привіт йому від мене,С.і.х. йиму вид мене.
